,ets_add_add_false,ets_add_mul_false,ets_mul_add_false,ets_mul_mul_false,ets_add_add_true,ets_add_mul_true,ets_mul_add_true,ets_mul_mul_true
88,298.3831125089608,141.34004073164454,181.47552259584393,183.08256085442918,203.22271749097888,178.22279160887004,134.0305553251612,213.68280486311363
89,301.5577135984676,141.43708177844698,182.3578212243946,184.14020117573176,203.96349314248232,178.37356019275117,134.00338964330484,214.17175925976505
90,304.73231468797445,141.53418945155514,183.24011985294527,185.20395132554026,204.6894532809557,178.51605156076556,133.97676727508562,214.64069362836864
91,307.9069157774813,141.63136379671323,184.12241848149594,186.2738465994118,205.4008942166596,178.65071396966934,133.95067735423078,215.09038434749726
92,311.0815168669881,141.72860485969684,185.0047171100466,187.3499224968006,206.0981063336494,178.7779720687044,133.92510923179302,215.5215813579221
93,314.25611795649496,141.825912686313,185.88701573859728,188.43221472223587,206.78137420829944,178.89822806991177,133.90005247180403,215.9350087414099
94,317.4307190460018,141.92328732240017,186.76931436714796,189.52075918650652,207.45097672545646,179.01186286855932,133.8754968470148,216.33136531808145
95,320.60532013550863,142.02072881382833,187.65161299569863,190.61559200785263,208.10718719227035,179.11923711485815,133.85143233472138,216.71132525831123
96,323.77992122501547,142.11823720649892,188.5339116242493,191.71674951316393,208.75027344974794,179.2206922382428,133.82784911267382,217.07553870554017
97,326.9545223145223,142.21581254634492,189.41621025279997,192.8242682391851,209.38049798207598,179.31655142556795,133.8047375550672,217.42463240673632
98,330.12912340402914,142.3134548793308,190.29850888135064,193.93818493372805,209.99811802375748,179.40712055463308,133.7820882286127,217.7592103475729
99,333.303724493536,142.41116425145265,191.1808075099013,195.0585365568913,210.60338566460536,179.4926890844878,133.75989188868732,218.07985438970283
100,336.4783255830428,142.50894070873807,192.06310613845199,196.1853602822863,211.19654795263625,179.57353090399832,133.73813947556044,218.3871249077928
101,339.65292667254965,142.6067842972463,192.94540476700266,197.31869349827076,211.77784699490653,179.64990514016887,133.71682211069609,218.68156142424232
102,342.8275277620565,142.70469506306821,193.82770339555333,198.45857380918935,212.3475200563314,179.7220569277173,133.69593109312902,218.96368323975267
103,346.0021288515633,142.8026730523263,194.710002024104,199.60503903662132,212.9057996565278,179.7902181413964,133.6754578959133,219.23399005813184
104,349.17672994107016,142.90071831117476,195.59230065265467,200.75812722063554,213.45291366472026,179.85460809254164,133.6553941626419,219.49296260392086
105,352.351331030577,142.99883088579944,196.47459928120534,201.91787662105256,213.98908539274888,179.91543419130446,133.63573170403592,219.74106323161337
106,355.52593212008384,143.0970108224179,197.35689790975601,203.08432571871415,214.5145336862169,179.97289257600602,133.61646249460208,219.97873652540554
107,358.7005332095907,143.19525816727946,198.2391965383067,204.25751321676015,215.0294730138156,180.02716871101646,133.5975786693569,220.2064098885674
108,361.8751342990975,143.29357296666518,199.12149516685736,205.4374780419125,215.5341135548623,180.07843795453167,133.57907252061662,220.42449412166454
109,365.04973538860435,143.39195526688786,200.00379379540803,206.624259345767,216.02866128508808,180.12686609758342,133.56093649485115,220.63338398898475
110,368.2243364781112,143.49040511429217,200.8860924239587,207.8178965060923,216.51331806070934,180.17260987558012,133.543163189601,220.83345877263838
111,371.398937567618,143.58892255525453,201.76839105250937,209.01842912813646,216.98828170081816,180.21581745363636,133.52574535045582,221.0250828139027
112,374.57353865712486,143.68750763618326,202.65068968106004,210.2258970459411,217.45374606812481,180.2566288869071,133.50867586809358,221.208606041474
113,377.7481397466317,143.78616040351847,203.53298830961072,211.44034032366312,217.90990114808534,180.29517655710163,133.49194777537858,221.38436448637353
114,380.92274083613853,143.88488090373224,204.4152869381614,212.66179925690392,218.35693312644665,180.33158558630942,133.47555424451787,221.55268078332813
115,384.09734192564537,143.9836691833285,205.29758556671206,213.89031437404657,218.79502446524072,180.36597422922782,133.45948858427437,221.7138646585129
116,387.2719430151522,144.0825252888431,206.17988419526273,215.12592643760047,219.22435397725891,180.39845424483946,133.44374423723573,221.8682134036023
117,390.44654410465904,144.18144926684388,207.0621828238134,216.36867644555392,219.64509689903676,180.42913124854525,133.42831477713787,222.01601233612905
118,393.6211451941659,144.28044116393067,207.94448145236407,217.61860563273436,220.05742496237903,180.4581050457179,133.413193906242,222.15753524619635
119,396.7957462836727,144.37950102673523,208.82678008091474,218.87575547217662,220.46150646445446,180.4854699475999,133.39837545276401,222.29304482963062
120,399.97034737317955,144.47862890192135,209.70907870946542,220.140167676499,220.85750633648837,180.51131507043075,133.3838533683556,222.4227931076974
121,403.1449484626864,144.5778248361849,210.5913773380161,221.41188419928733,221.24558621108162,180.5357246186492,133.36962172563534,222.54702183353444
122,406.3195495521932,144.67708887625378,211.47367596656676,222.69094723648692,221.62590448818298,180.55877815297876,133.3556747157695,222.66596288548382
123,409.49415064170006,144.77642106888797,212.35597459511743,223.9773992278027,221.99861639974233,180.580550844168,133.34200664610097,222.77983864752767
124,412.6687517312069,144.8758214608796,213.2382732236681,225.27128285810738,222.3638740730705,180.60111371312175,133.32861193782583,222.88886237705245
